deep_seq	shallow_seq
MFD01231	MFD03092
MFD01231	MFD04492
MFD01231	MFD04752
MFD01231	MFD04799
MFD01231	MFD04813
MFD01231	MFD04899
MFD01231	MFD04928
MFD01231	MFD05512
MFD01231	MFD05616
MFD01231	MFD05623
MFD01231	MFD05752
MFD01231	MFD05938
MFD01231	MFD06435
MFD01231	MFD06481
MFD01231	MFD06593
MFD01231	MFD06947
MFD01231	MFD06949
MFD01231	MFD09455
MFD01231	MFD09530
MFD01231	MFD09551
MFD01231	MFD09567
MFD01231	MFD09592
MFD01231	MFD09594
MFD01248	MFD00056
MFD01248	MFD00137
MFD01248	MFD00289
MFD01248	MFD00610
MFD01248	MFD01023
MFD01248	MFD01029
MFD01248	MFD01130
MFD01248	MFD01166
MFD01248	MFD01268
MFD01248	MFD01270
MFD01248	MFD01294
MFD01248	MFD01318
MFD01248	MFD01341
MFD01248	MFD01408
MFD01248	MFD01409
MFD01248	MFD01523
MFD01248	MFD01557
MFD01248	MFD01616
MFD01248	MFD01682
MFD01248	MFD01766
MFD01248	MFD01786
MFD01248	MFD01878
MFD01248	MFD02124
MFD01248	MFD02243
MFD01248	MFD02560
MFD01248	MFD02956
MFD01248	MFD03308
MFD01248	MFD03612
MFD01248	MFD04227
MFD01248	MFD04516
MFD01248	MFD04601
MFD01248	MFD04738
MFD01248	MFD04879
MFD01248	MFD04901
MFD01248	MFD04903
MFD01248	MFD05406
MFD01248	MFD05432
MFD01248	MFD05510
MFD01248	MFD05656
MFD01248	MFD05662
MFD01248	MFD05712
MFD01248	MFD06133
MFD01248	MFD06182
MFD01248	MFD06441
MFD01248	MFD06671
MFD01248	MFD06721
MFD01248	MFD09409
MFD01248	MFD09412
MFD01248	MFD09637
MFD01248	MFD09667
MFD01275	MFD00391
MFD01275	MFD00491
MFD01275	MFD00494
MFD01275	MFD00543
MFD01275	MFD00665
MFD01275	MFD00772
MFD01275	MFD01139
MFD01275	MFD01216
MFD01275	MFD01254
MFD01275	MFD01405
MFD01275	MFD01419
MFD01275	MFD01485
MFD01275	MFD01664
MFD01275	MFD01720
MFD01275	MFD01750
MFD01275	MFD01916
MFD01275	MFD02377
MFD01275	MFD02518
MFD01275	MFD02599
MFD01275	MFD02779
MFD01275	MFD02978
MFD01275	MFD03014
MFD01275	MFD03577
MFD01275	MFD03826
MFD01275	MFD04245
MFD01275	MFD04358
MFD01275	MFD04377
MFD01275	MFD04397
MFD01275	MFD04400
MFD01275	MFD04442
MFD01275	MFD04550
MFD01275	MFD04797
MFD01275	MFD04915
MFD01275	MFD04917
MFD01275	MFD04924
MFD01275	MFD05376
MFD01275	MFD05391
MFD01275	MFD05455
MFD01275	MFD05516
MFD01275	MFD05594
MFD01275	MFD06687
MFD01275	MFD06909
MFD01275	MFD06980
MFD01275	MFD08490
MFD01275	MFD09311
MFD01275	MFD09342
MFD01275	MFD09554
MFD01275	MFD09940
MFD01275	MFD10013
MFD01275	MFD10046
MFD01299	MFD00092
MFD01299	MFD00093
MFD01299	MFD00104
MFD01299	MFD00106
MFD01299	MFD00111
MFD01299	MFD00112
MFD01299	MFD00113
MFD01299	MFD00152
MFD01299	MFD00277
MFD01299	MFD00412
MFD01299	MFD00439
MFD01299	MFD00726
MFD01299	MFD00852
MFD01299	MFD00921
MFD01299	MFD01128
MFD01299	MFD01146
MFD01299	MFD01299
MFD01299	MFD01525
MFD01299	MFD01687
MFD01299	MFD01745
MFD01299	MFD01865
MFD01299	MFD01866
MFD01299	MFD01873
MFD01299	MFD01919
MFD01299	MFD02148
MFD01299	MFD02297
MFD01299	MFD02530
MFD01299	MFD02680
MFD01299	MFD02725
MFD01299	MFD02950
MFD01299	MFD03052
MFD01299	MFD03657
MFD01299	MFD03733
MFD01299	MFD03782
MFD01299	MFD03822
MFD01299	MFD03823
MFD01299	MFD03837
MFD01299	MFD03915
MFD01299	MFD04277
MFD01299	MFD04386
MFD01299	MFD04403
MFD01299	MFD04480
MFD01299	MFD05548
MFD01299	MFD05616
MFD01299	MFD05810
MFD01299	MFD05938
MFD01299	MFD06000
MFD01299	MFD06435
MFD01299	MFD06960
MFD01299	MFD09434
MFD01476	MFD00091
MFD01476	MFD00092
MFD01476	MFD00097
MFD01476	MFD00104
MFD01476	MFD00111
MFD01476	MFD00112
MFD01476	MFD00113
MFD01476	MFD00152
MFD01476	MFD00253
MFD01476	MFD00273
MFD01476	MFD00412
MFD01476	MFD00439
MFD01476	MFD00852
MFD01476	MFD00921
MFD01476	MFD01124
MFD01476	MFD01146
MFD01476	MFD01188
MFD01476	MFD01299
MFD01476	MFD01418
MFD01476	MFD01531
MFD01476	MFD01689
MFD01476	MFD01857
MFD01476	MFD01866
MFD01476	MFD01873
MFD01476	MFD01919
MFD01476	MFD02530
MFD01476	MFD02725
MFD01476	MFD02950
MFD01476	MFD03021
MFD01476	MFD03782
MFD01476	MFD03823
MFD01476	MFD03862
MFD01476	MFD03915
MFD01476	MFD03934
MFD01476	MFD04813
MFD01476	MFD04899
MFD01476	MFD05616
MFD01476	MFD05617
MFD01476	MFD05716
MFD01476	MFD05938
MFD01476	MFD06000
MFD01476	MFD06435
MFD01476	MFD06481
MFD01476	MFD06593
MFD01476	MFD06790
MFD01476	MFD06809
MFD01476	MFD06947
MFD01476	MFD06949
MFD01476	MFD09551
MFD01476	MFD09594
MFD01561	MFD00023
MFD01561	MFD00081
MFD01561	MFD00538
MFD01561	MFD00678
MFD01561	MFD00697
MFD01561	MFD00742
MFD01561	MFD01415
MFD01561	MFD01442
MFD01561	MFD01562
MFD01561	MFD01564
